street,object_name,district
1-й Балтийский переулок,1,Аэропорт
1-й Басманный переулок,1,Басманный
1-й Ботанический проезд,1,Свиблово
1-й Вешняковский проезд,1,Рязанский
1-й Голутвинский переулок,1,Якиманка
1-й Заречный переулок,1,Троицкий
1-й Зачатьевский переулок,1,Хамовники
1-й Кирпичный переулок,1,Соколиная Гора
1-й Кожевнический переулок,1,Даниловский
1-й Кожуховский проезд,1,Даниловский
1-й Коптельский переулок,1,Красносельский
1-й Котельнический переулок,1,Таганский
1-й Краснокурсантский проезд,1,Лефортово
1-й Курьяновский проезд,1,Печатники
1-й Лучевой просек,1,Сокольники
1-й Люсиновский переулок,1,Замоскворечье
1-й Магистральный тупик,1,Хорошевский
1-й Монетчиковский переулок,1,Замоскворечье
1-й Николощеповский переулок,1,Арбат
1-й Новокузнецкий переулок,1,Замоскворечье
1-й Обыденский переулок,1,Хамовники
1-й Рижский переулок,1,Алексеевский
1-й Саратовский проезд,1,Текстильщики
1-й Сельскохозяйственный проезд,1,Ростокино
1-й Сетуньский проезд,1,Раменки
1-й Силикатный проезд,1,Хорошево-Мневники
1-й Спасоналивковский переулок,1,Якиманка
1-й Тушинский проезд,1,Покровское-Стрешнево
1-й проезд Марьиной Рощи,1,Марьина роща
1-я Аэропортовская улица,1,Аэропорт
1-я Боевская улица,1,Сокольники
1-я Ватутинская улица,1,Новомосковский
1-я Гражданская улица,1,Богородское
1-я Карачаровская улица,1,Нижегородский
1-я Миусская улица,1,Тверской
1-я Напрудная улица,1,Лосиноостровский
1-я Пугачёвская улица,1,Преображенское
1-я Чоботовская аллея,1,Ново-Переделкино
1-я линия Хорошёвского Серебряного Бора,1,Хорошево-Мневники
104-й километр Московской Кольцевой Автодороги,1,Солнцево
11-я Парковая улица,1,Восточное Измайлово
12-й проезд Марьиной Рощи,1,Марьина роща
14-я Парковая улица,1,Восточное Измайлово
17-й проезд Марьиной Рощи,1,Марьина роща
2-й Балтийский переулок,1,Аэропорт
2-й Боткинский проезд,1,Беговой
2-й Верхний Михайловский проезд,1,Донской
2-й Вышеславцев переулок,1,Марьина роща
2-й Иртышский проезд,1,Гольяново
2-й Кабельный проезд,1,Лефортово
2-й Кадашёвский переулок,1,Якиманка
2-й Колобовский переулок,1,Тверской
2-й Красносельский переулок,1,Красносельский
2-й Курьяновский проезд,1,Печатники
2-й Лучевой просек,1,Сокольники
2-й Магистральный тупик,1,Хорошевский
2-й Неопалимовский переулок,1,Хамовники
2-й Новокузнецкий переулок,1,Замоскворечье
2-й Новоподмосковный переулок,1,Войковский
2-й Обыденский переулок,1,Хамовники
2-й Полевой переулок,1,Сокольники
2-й Рощинский проезд,1,Донской
2-й Сельскохозяйственный проезд,1,Ростокино
2-й Сетуньский проезд,1,Раменки
2-й Стрелецкий проезд,1,Марьина роща
2-й Хуторской переулок,1,Савеловский
2-й Щемиловский переулок,1,Тверской
2-я Барышевская улица,1,Новомосковский
2-я Гражданская улица,1,Богородское
2-я Дубровская улица,1,Таганский
2-я Квесисская улица,1,Савеловский
2-я Напрудная улица,1,Лосиноостровский
2-я Прядильная улица,1,Измайлово
2-я Сокольническая улица,1,Сокольники
2-я Филёвская улица,1,Филевский парк
2-я Ямская улица,1,Марьина роща
2-я улица Бухвостова,1,Преображенское
2-я улица Марьиной Рощи,1,Марьина роща
2-я улица Энтузиастов,1,Перово
26-й километр Московской Кольцевой Автодороги,1,Солнцево
3-й Дорожный проезд,1,Чертаново Южное
3-й Кадашёвский переулок,1,Якиманка
3-й Кожуховский проезд,1,Южнопортовый
3-й Лихачёвский переулок,1,Головинский
3-й Лучевой просек,1,Сокольники
3-й Павловский переулок,1,Даниловский
3-й Стрелецкий проезд,1,Марьина роща
3-й Угрешский проезд,1,Печатники
3-й проезд Подбельского,1,Богородское
3-я Железногорская улица,1,Южное Бутово
3-я Новоостанкинская улица,1,Останкинский
3-я Песчаная улица,1,Хорошевский
3-я Подрезковская улица,1,Молжаниновский
3-я Северная линия,1,Северный
3-я Черепковская улица,1,Кунцево
30-й километр Московской Кольцевой Автодороги,1,Солнцево
31-й километр Московской Кольцевой Автодороги,1,Солнцево
34-й километр Московской Кольцевой Автодороги,1,Южное Тушино
38-й километр Московской Кольцевой Автодороги,1,Солнцево
39-й километр Калужского шоссе,1,Троицкий
4-й Вешняковский проезд,1,Рязанский
4-й Вятский переулок,1,Савеловский
4-й Кожевнический переулок,1,Даниловский
4-й Рощинский проезд,1,Донской
4-я Гражданская улица,1,Богородское
4-я Кабельная улица,1,Лефортово
42-й километр Московской Кольцевой Автодороги,1,Солнцево
43-й километр МКАД,1,Теплый Стан
44-й километр,1,Новомосковский
5-й Монетчиковский переулок,1,Замоскворечье
5-й Рощинский проезд,1,Даниловский
5-й проезд Марьиной Рощи,1,Марьина роща
5-й проезд Подбельского,1,Богородское
56-й километр Московской Кольцевой Автодороги,1,Солнцево
6-й Лучевой просек,1,Сокольники
6-я Кожуховская улица,1,Южнопортовый
6-я улица Лазенки,1,Ново-Переделкино
6-я улица Новые Сады,1,Ново-Переделкино
65-й километр Московской Кольцевой Автодороги,1,Солнцево
67-й километр Московской Кольцевой Автодороги,1,Солнцево
7-й Ростовский переулок,1,Хамовники
7-я Северная линия,1,Северный
7-я улица Лазенки,1,Ново-Переделкино
78-й километр Московской Кольцевой Автодороги,1,Солнцево
8-й проезд Марьиной Рощи,1,Марьина роща
8-я улица Соколиной Горы,1,Соколиная Гора
80-й километр Московской Кольцевой Автодороги,1,Солнцево
Авиационный переулок,1,Аэропорт
Автомобильный проезд,1,Нижегородский
Алымов переулок,1,Богородское
Андреево-Забелинская улица,1,Богородское
Андроньевская площадь,1,Таганский
Анненская улица,1,Марьина роща
Анненский проезд,1,Марьина роща
Армавирская улица,1,Люблино
Армейская улица,1,Новомосковский
Архангельский переулок,1,Басманный
Астрадамский проезд,1,Тимирязевский
Ащеулов переулок,1,Красносельский
Аэрофлотская улица,1,Внуково
Бабаевская улица,1,Сокольники
Базовая улица,1,Внуково
Балтийская улица,1,Сокол
Банный проезд,1,Мещанский
Барабанный переулок,1,Соколиная Гора
Басовская улица,1,Нижегородский
Берниковская набережная,1,Таганский
Бескудниковский переулок,1,Бескудниковский
Бескудниковский проезд,1,Бескудниковский
Библиотечная улица,1,Таганский
Богоявленский переулок,1,Тверской
Больничный переулок,1,Мещанский
Большая Бутовская улица,1,Южное Бутово
Большая Внуковская улица,1,Внуково
Большая Октябрьская улица,1,Троицкий
Большая Ширяевская улица,1,Сокольники
Большая Юшуньская улица,1,Зюзино
Большой Афанасьевский переулок,1,Арбат
Большой Знаменский переулок,1,Хамовники
Большой Казённый переулок,1,Басманный
Большой Кисельный переулок,1,Мещанский
Большой Николопесковский переулок,1,Арбат
Большой Полуярославский переулок,1,Таганский
Большой Предтеченский переулок,1,Пресненский
Большой Симоновский переулок,1,Таганский
Большой Строченовский переулок,1,Замоскворечье
Большой Трёхсвятительский переулок,1,Басманный
Боровая улица,1,Лефортово
Боровский проезд,1,Солнцево
Ботанический переулок,1,Мещанский
Бродников переулок,1,Якиманка
Брошевский переулок,1,Таганский
Будайская улица,1,Ростокино
Будайский проезд,1,Ростокино
Бутиковский переулок,1,Хамовники
Вагоноремонтная улица,1,Дмитровский
Варсонофьевский переулок,1,Мещанский
Вербная улица,1,Метрогородок
Верхний Золоторожский переулок,1,Лефортово
Верхняя улица,1,Беговой
Винницкая улица,1,Раменки
Волоцкой переулок,1,Митино
Воротниковский переулок,1,Тверской
Врачебный проезд,1,Покровское-Стрешнево
Выползов переулок,1,Мещанский
Вяземская улица,1,Можайский
Газгольдерная улица,1,Нижегородский
Гаражная улица,1,Соколиная Гора
Гвардейская улица,1,Можайский
Гжатская улица,1,Можайский
Гжельский переулок,1,Таганский
Глазовский переулок,1,Арбат
Глебовская улица,1,Богородское
Глинистый переулок,1,Мещанский
Глинищевский переулок,1,Тверской
Гольяновская улица,1,Басманный
Гончарная набережная,1,Таганский
Госпитальный переулок,1,Басманный
Гранатный переулок,1,Пресненский
Гродненская улица,1,Можайский
Дегтярный переулок,1,Тверской
Делегатская улица,1,Тверской
Денежный переулок,1,Арбат
Дивизионная улица,1,Внуково
Дмитровский переулок,1,Тверской
Докучаев переулок,1,Красносельский
Егорьевский проезд,1,Люблино
Елоховский проезд,1,Басманный
Есенинский бульвар,1,Кузьминки
Живарев переулок,1,Красносельский
Жигулёвская улица,1,Кузьминки
Жуков проезд,1,Замоскворечье
Заводской проезд,1,Измайлово
Зарайская улица,1,Рязанский
Звонарский переулок,1,Мещанский
Зубарев переулок,1,Алексеевский
Зюзинская улица,1,Черемушки
Иваньковское шоссе,1,Покровское-Стрешнево
Ижорский проезд,1,Дмитровский
Изваринская улица,1,Внуково
Известковый переулок,1,Таганский
Измайловская площадь,1,Измайлово
Икшинская улица,1,Дмитровский
Институтский переулок,1,Марьина роща
Институтский проезд,1,Марьина роща
Интернациональная улица,1,Внуково
Калашный переулок,1,Арбат
Калибровская улица,1,Останкинский
Калошин переулок,1,Арбат
Канатчиковский проезд,1,Донской
Карельский бульвар,1,Дмитровский
Каскадная улица,1,Косино-Ухтомский
Кирпичная улица,1,Соколиная Гора
Кожевнический проезд,1,Замоскворечье
Козицкий переулок,1,Тверской
Композиторская улица,1,Арбат
Конаковский проезд,1,Головинский
Кондрашёвский тупик,1,Басманный
Кооперативная улица,1,Хамовники
Коптевский бульвар,1,Коптево
Костомаровская набережная,1,Таганский
Красногвардейский бульвар,1,Пресненский
Красноказарменный проезд,1,Лефортово
Кремлёвская набережная,1,Тверской
Кривоарбатский переулок,1,Арбат
Кузьминская улица,1,Выхино-Жулебино
Кулаков переулок,1,Алексеевский
Кунцевская улица,1,Кунцево
Курганская улица,1,Гольяново
Кучин переулок,1,Алексеевский
Ландышевая улица,1,Куркино
Лениногорская улица,1,Косино-Ухтомский
Лефортовский переулок,1,Басманный
Лечебная улица,1,Соколиная Гора
Линейный проезд,1,Тимирязевский
Лонгиновская улица,1,Лефортово
Лосевская улица,1,Ярославский
Лужнецкий проезд,1,Хамовники
Лыщиков переулок,1,Таганский
Магаданская улица,1,Лосиноостровский
Мажоров переулок,1,Соколиная Гора
Малая Андроньевская улица,1,Таганский
Малая Переяславская улица,1,Мещанский
Малая Тульская улица,1,Донской
Малый Власьевский переулок,1,Хамовники
Малый Златоустинский переулок,1,Басманный
Малый Знаменский переулок,1,Хамовники
Малый Ивановский переулок,1,Басманный
Малый Казённый переулок,1,Басманный
Малый Каретный переулок,1,Тверской
Малый Конюшковский переулок,1,Пресненский
Малый Коптевский проезд,1,Аэропорт
Малый Лёвшинский переулок,1,Хамовники
Малый Николопесковский переулок,1,Арбат
Малый Полуярославский переулок,1,Таганский
Малый Путинковский переулок,1,Тверской
Малый Саввинский переулок,1,Хамовники
Малый Татарский переулок,1,Замоскворечье
Малый Толмачёвский переулок,1,Якиманка
Мамоновский переулок,1,Тверской
Мансуровский переулок,1,Хамовники
Мариупольская улица,1,Люблино
Машкинское шоссе,1,Молжаниновский
Международная улица,1,Таганский
Мерзляковский переулок,1,Пресненский
Миллионная улица,1,Богородское
Минаевский переулок,1,Марьина роща
Мирской переулок,1,Савеловский
Миусская площадь,1,Тверской
Михневский проезд,1,Бирюлево Восточное
Мишина улица,1,Савеловский
Молодежная улица,1,Гагаринский
Молодёжная улица,1,Гагаринский
Мрузовский переулок,1,Басманный
Нагорный бульвар,1,Котловка
Напрудный переулок,1,Мещанский
Нарвская улица,1,Коптево
Наро-Фоминская улица,1,Солнцево
Народный проспект,1,Измайлово
Научный проезд,1,Черемушки
Нелидовская улица,1,Южное Тушино
Неманский проезд,1,Строгино
Несвижский переулок,1,Хамовники
Нижний Журавлёв переулок,1,Соколиная Гора
Нижний Кисельный переулок,1,Мещанский
Нижний Таганский тупик,1,Таганский
Никитский переулок,1,Тверской
Новобутовский проезд,1,Южное Бутово
Нововладыкинский проезд,1,Отрадное
Новолучанская улица,1,Кунцево
Новоостаповская улица,1,Южнопортовый
Новопресненский переулок,1,Пресненский
Новорублёвская улица,1,Кунцево
Новосибирская улица,1,Гольяново
Новохорошёвский проезд,1,Хорошево-Мневники
Норильская улица,1,Лосиноостровский
Олонецкий проезд,1,Бабушкинский
Оренбургская улица,1,Косино-Ухтомский
Орехово-Зуевский проезд,1,Нижегородский
Отрадный проезд,1,Отрадное
Парковая улица,1,Ново-Переделкино
Парусный проезд,1,Южное Тушино
Педагогическая улица,1,Бирюлево Восточное
Пенягинская улица,1,Митино
Перовский проезд,1,Лефортово
Пестовский переулок,1,Таганский
Песчаная улица,1,Сокол
Песчаный переулок,1,Сокол
Петроверигский переулок,1,Басманный
Петровско-Разумовская аллея,1,Аэропорт
Печорская улица,1,Бабушкинский
Пионерская улица,1,Замоскворечье
Платовская улица,1,Дорогомилово
Плетешковский переулок,1,Басманный
Подольская улица,1,Марьино
Подсосенский переулок,1,Басманный
Пожарский переулок,1,Хамовники
Полтавская улица,1,Савеловский
Попов проезд,1,Сокольники
Посланников переулок,1,Басманный
Прибрежный проезд,1,Левобережный
Причальный проезд,1,Хорошево-Мневники
Проектируемый проезд N 5231,1,Митино
Производственная улица,1,Солнцево
Прокатная улица,1,Ивановское
Проточный переулок,1,Арбат
Прохладная улица,1,Бирюлево Восточное
Пуговишников переулок,1,Хамовники
Пулковская улица,1,Головинский
Пыжёвский переулок,1,Якиманка
Пяловская улица,1,Западное Дегунино
Рижский проезд,1,Алексеевский
Родниковая улица,1,Солнцево
Ростокинская улица,1,Ростокино
